epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,368.196,0.38646,0.71099,0.26597,0.90269,0,0.98248,0.98361,0.98385,0.94241,0.99885,1,0.995,0.93745,0.35569,0.63412,0.21442,0.77255,0,0.000515,0.000515,0.000515
77,372.958,0.36478,0.65413,0.26349,0.89428,0,0.98263,0.98361,0.98385,0.94052,0.99903,1,0.995,0.93383,0.34309,0.67229,0.20204,0.76987,0,0.0004952,0.0004952,0.0004952
78,377.633,0.41569,0.69347,0.28445,0.90799,0,0.98261,0.98361,0.98385,0.93839,0.98261,0.98361,0.98385,0.93691,0.34734,0.66749,0.21105,0.77343,0,0.0004754,0.0004754,0.0004754
79,382.26,0.38672,0.66982,0.26347,0.8907,0,0.98266,0.98361,0.98385,0.93823,0.98266,0.98361,0.98385,0.93756,0.3234,0.65192,0.20467,0.76133,0,0.0004556,0.0004556,0.0004556
80,386.936,0.36784,0.59477,0.25956,0.89322,0,0.9827,0.98361,0.98385,0.94219,0.99908,1,0.995,0.93974,0.33758,0.65842,0.19062,0.77435,0,0.0004358,0.0004358,0.0004358
81,391.6,0.35416,0.60816,0.25141,0.89675,0,0.98269,0.98361,0.98418,0.93979,0.98269,0.98361,0.98418,0.93641,0.33205,0.67741,0.18909,0.77031,0,0.000416,0.000416,0.000416
82,396.27,0.36854,0.61434,0.25069,0.89552,0,0.98271,0.98361,0.98418,0.94404,0.99908,1,0.995,0.9366,0.32747,0.62011,0.19243,0.76955,0,0.0003962,0.0003962,0.0003962
83,401.025,0.36082,0.61445,0.24846,0.89108,0,0.98272,0.98361,0.98385,0.94391,0.9991,1,0.995,0.93861,0.34502,0.61498,0.20214,0.77575,0,0.0003764,0.0003764,0.0003764
84,405.694,0.36798,0.6175,0.25348,0.89506,0,0.98272,0.98361,0.98385,0.93681,0.9991,1,0.995,0.9364,0.33916,0.68606,0.19146,0.7772,0,0.0003566,0.0003566,0.0003566
85,410.358,0.34371,0.57945,0.24426,0.88471,0,0.9827,0.98361,0.98303,0.93822,0.99908,1,0.995,0.93994,0.33628,0.68884,0.19616,0.77319,0,0.0003368,0.0003368,0.0003368
86,415.035,0.36898,0.61308,0.24932,0.88755,0,0.98273,0.98361,0.98418,0.93952,0.98273,0.98361,0.98418,0.93342,0.33151,0.70718,0.19457,0.7725,0,0.000317,0.000317,0.000317
87,419.711,0.35238,0.5947,0.24729,0.88946,0,0.9827,0.98361,0.98418,0.93642,0.99908,1,0.995,0.93587,0.32377,0.70929,0.19603,0.77797,0,0.0002972,0.0002972,0.0002972
88,424.383,0.33821,0.59375,0.23351,0.88357,0,0.9827,0.98361,0.98418,0.94055,0.99908,1,0.995,0.93411,0.31917,0.71847,0.19295,0.77212,0,0.0002774,0.0002774,0.0002774
89,429.139,0.34993,0.5778,0.23669,0.89294,0,0.9827,0.98361,0.98385,0.93955,0.9827,0.98361,0.98385,0.9373,0.31368,0.68761,0.18908,0.77128,0,0.0002576,0.0002576,0.0002576
90,433.79,0.32778,0.55912,0.22816,0.87516,0,0.98269,0.98361,0.98336,0.92787,0.99907,1,0.995,0.93273,0.33827,0.69272,0.18882,0.77277,0,0.0002378,0.0002378,0.0002378
91,456.629,0.2793,0.51486,0.20393,0.84337,0,0.98266,0.98361,0.98385,0.93825,0.99904,1,0.995,0.93978,0.3178,0.64902,0.17737,0.7743,0,0.000218,0.000218,0.000218
92,461.263,0.28163,0.4638,0.19057,0.85858,0,0.98265,0.98361,0.98369,0.93774,0.99903,1,0.995,0.93644,0.3349,0.64444,0.17327,0.77537,0,0.0001982,0.0001982,0.0001982
93,465.871,0.27506,0.48807,0.18956,0.82921,0,0.98269,0.98361,0.98369,0.93796,0.99907,1,0.995,0.93622,0.33406,0.65943,0.18191,0.77411,0,0.0001784,0.0001784,0.0001784
94,470.541,0.26589,0.43825,0.18944,0.84265,0,0.98271,0.98361,0.98369,0.94492,0.99909,1,0.995,0.93538,0.32746,0.66568,0.17704,0.76794,0,0.0001586,0.0001586,0.0001586
95,475.242,0.27046,0.43151,0.17913,0.82672,0,0.98268,0.98361,0.98385,0.9423,0.99906,1,0.995,0.93593,0.33466,0.68839,0.18384,0.77895,0,0.0001388,0.0001388,0.0001388
96,479.889,0.25411,0.4773,0.17278,0.83313,0,0.98269,0.98361,0.98418,0.94067,0.99907,1,0.995,0.93292,0.3315,0.67972,0.18729,0.77994,0,0.000119,0.000119,0.000119
97,484.493,0.27108,0.44551,0.17905,0.83779,0,0.9827,0.98361,0.98385,0.93524,0.99908,1,0.995,0.93385,0.32412,0.68493,0.17685,0.77821,0,9.92e-05,9.92e-05,9.92e-05
98,489.109,0.2582,0.43268,0.17497,0.83515,0,0.98271,0.98361,0.98369,0.93832,0.99909,1,0.995,0.93503,0.32027,0.66612,0.17125,0.77389,0,7.94e-05,7.94e-05,7.94e-05
99,493.711,0.24059,0.45553,0.17288,0.83352,0,0.98272,0.98361,0.98385,0.93493,0.9991,1,0.995,0.93452,0.31661,0.68187,0.1679,0.77409,0,5.96e-05,5.96e-05,5.96e-05
100,498.344,0.24931,0.43998,0.16945,0.84238,0,0.98272,0.98361,0.98385,0.93882,0.9991,1,0.995,0.93601,0.31298,0.69124,0.16257,0.77579,0,3.98e-05,3.98e-05,3.98e-05
